iter	Passed	Remaining
0	60	60183
1	60	30307
2	61	20344
3	61	15350
4	62	12356
5	62	10360
6	62	8935
7	63	7859
8	63	7025
9	64	6357
10	64	5813
11	65	5362
12	65	4984
13	66	4656
14	66	4367
15	66	4116
16	67	3895
17	67	3698
18	68	3523
19	68	3365
20	69	3220
21	69	3090
22	69	2970
23	70	2866
24	70	2767
25	71	2674
26	71	2590
27	72	2510
28	72	2436
29	73	2367
30	73	2301
31	74	2241
32	74	2183
33	74	2128
34	75	2078
35	75	2030
36	76	1985
37	76	1941
38	77	1899
39	77	1862
40	78	1824
41	78	1789
42	78	1756
43	79	1722
44	79	1692
45	80	1663
46	80	1634
47	81	1606
48	81	1580
49	81	1555
50	82	1531
51	82	1508
52	83	1485
53	83	1464
54	84	1443
55	84	1423
56	84	1405
57	85	1387
58	85	1371
59	86	1353
60	86	1336
61	87	1320
62	87	1304
63	88	1288
64	88	1274
65	89	1260
66	89	1246
67	89	1228
68	90	1215
69	90	1202
70	90	1189
71	91	1176
72	91	1164
73	92	1152
74	92	1141
75	92	1130
76	93	1119
77	93	1109
78	94	1099
79	94	1089
80	95	1079
81	95	1068
82	95	1060
83	96	1051
84	96	1040
85	97	1031
86	97	1021
87	97	1012
88	98	1004
89	98	996
90	98	988
91	99	980
92	99	973
93	100	967
94	100	959
95	101	953
96	101	946
97	102	939
98	102	933
99	103	927
100	103	920
101	103	912
102	104	906
103	104	899
104	104	893
105	105	887
106	105	882
107	106	876
108	106	871
109	107	866
110	107	860
111	107	855
112	108	849
113	108	844
114	109	839
115	109	833
116	109	828
117	110	824
118	110	818
119	110	813
120	111	809
121	111	804
122	111	798
123	112	794
124	112	789
125	113	785
126	113	781
127	113	775
128	114	771
129	114	767
130	115	764
131	115	759
132	116	756
133	116	752
134	116	748
135	117	744
136	117	741
137	118	737
138	118	733
139	118	730
140	119	726
141	119	722
142	119	719
143	120	716
144	120	712
145	121	709
146	121	706
147	122	702
148	122	699
149	122	696
150	123	692
151	123	689
152	124	687
153	124	684
154	124	681
155	125	678
156	125	675
157	126	673
158	126	670
159	127	667
160	127	664
161	127	662
162	128	659
163	128	656
164	129	653
165	129	650
166	129	648
167	130	645
168	130	643
169	131	640
170	131	637
171	132	635
172	132	632
173	132	630
174	133	627
175	133	625
176	133	622
177	134	620
178	134	617
179	134	614
180	135	611
181	135	608
182	135	605
183	136	603
184	136	600
185	136	597
186	136	595
187	137	592
188	137	590
189	137	587
190	138	585
191	138	582
192	138	580
193	139	577
194	139	575
195	139	573
196	140	570
197	140	568
198	140	566
199	140	563
200	141	561
201	141	559
202	141	557
203	142	555
204	142	552
205	142	550
206	143	548
207	143	546
208	143	544
209	144	542
210	144	540
211	144	538
212	145	536
213	145	534
214	145	532
215	146	530
216	146	528
217	146	526
218	146	524
219	147	522
220	147	520
221	147	518
222	148	516
223	148	514
224	148	512
225	149	511
226	149	509
227	149	507
228	150	505
229	150	503
230	150	502
231	151	500
232	151	498
233	151	496
234	152	495
235	152	493
236	152	491
237	153	490
238	153	488
239	153	486
240	153	484
241	154	483
242	154	481
243	154	480
244	155	478
245	155	476
246	155	475
247	156	473
248	156	472
249	156	470
250	157	468
251	157	467
252	157	465
253	158	464
254	158	462
255	158	461
256	159	459
257	159	458
258	159	456
259	160	455
260	160	454
261	160	452
262	160	451
263	161	449
264	161	448
265	161	446
266	162	445
267	162	444
268	162	442
269	163	441
270	163	439
271	163	438
272	164	437
273	164	435
274	164	434
275	165	433
276	165	431
277	165	430
278	166	429
279	166	427
280	166	426
281	167	425
282	167	423
283	167	422
284	167	421
285	168	420
286	168	418
287	168	417
288	169	416
289	169	415
290	169	413
291	170	412
292	170	411
293	170	410
294	171	408
295	171	407
296	171	406
297	172	405
298	172	404
299	172	403
300	173	401
301	173	400
302	173	399
303	173	398
304	174	397
305	174	395
306	174	394
307	175	393
308	175	392
309	175	391
310	176	390
311	176	389
312	176	388
313	177	386
314	177	385
315	177	384
316	178	383
317	178	382
318	178	381
319	178	380
320	179	379
321	179	378
322	179	377
323	180	376
324	180	375
325	180	373
326	181	372
327	181	371
328	181	370
329	182	369
330	182	368
331	182	367
332	183	366
333	183	365
334	183	364
335	184	363
336	184	362
337	184	361
338	184	360
339	185	359
340	185	358
341	185	357
342	186	356
343	186	355
344	186	354
345	187	353
346	187	352
347	187	351
348	188	351
349	188	350
350	188	349
351	189	348
352	189	347
353	189	346
354	190	345
355	190	344
356	190	343
357	190	342
358	191	341
359	191	340
360	191	339
361	192	338
362	192	337
363	192	336
364	193	336
365	193	335
366	193	334
367	194	333
368	194	332
369	194	331
370	195	330
371	195	329
372	195	329
373	196	328
374	196	327
375	196	326
376	197	325
377	197	324
378	197	323
379	197	323
380	198	322
381	198	321
382	198	320
383	199	319
384	199	318
385	199	317
386	200	317
387	200	316
388	200	315
389	201	314
390	201	313
391	201	312
392	201	311
393	202	311
394	202	310
395	202	309
396	203	308
397	203	307
398	203	307
399	204	306
400	204	305
401	204	304
402	205	303
403	205	303
404	205	302
