iter	Passed	Remaining
0	55	55452
1	56	27956
2	56	18793
3	57	14196
4	57	11425
5	57	9587
6	58	8276
7	58	7290
8	59	6521
9	59	5912
10	60	5417
11	60	4996
12	61	4643
13	61	4339
14	61	4071
15	62	3838
16	62	3632
17	63	3450
18	63	3290
19	64	3143
20	64	3010
21	65	2892
22	65	2784
23	65	2683
24	66	2591
25	66	2504
26	67	2426
27	67	2351
28	68	2280
29	68	2216
30	68	2155
31	69	2103
32	69	2051
33	70	2001
34	70	1953
35	71	1909
36	71	1865
37	72	1825
38	72	1787
39	72	1750
40	73	1715
41	73	1683
42	74	1652
43	74	1623
44	75	1594
45	75	1567
46	75	1540
47	76	1514
48	76	1490
49	77	1467
50	77	1444
51	78	1423
52	78	1402
53	78	1382
54	79	1363
55	79	1345
56	80	1328
57	80	1311
58	81	1294
59	81	1278
60	82	1263
61	82	1248
62	83	1234
63	83	1221
64	84	1208
65	84	1195
66	84	1182
67	85	1170
68	85	1157
69	86	1146
70	86	1133
71	87	1121
72	87	1110
73	87	1099
74	88	1088
75	88	1078
76	89	1068
77	89	1058
78	89	1048
79	90	1039
80	90	1030
81	91	1021
82	91	1010
83	91	1001
84	92	993
85	92	985
86	93	977
87	93	969
88	93	961
89	94	955
90	94	948
91	95	941
92	95	934
93	96	927
94	96	920
95	97	914
96	97	907
97	97	901
98	98	895
99	98	889
100	99	884
101	99	878
102	100	872
103	100	867
104	101	861
105	101	856
106	101	851
107	102	845
108	102	840
109	103	834
110	103	829
111	103	824
112	104	819
113	104	815
114	106	816
115	106	811
116	106	806
117	107	802
118	107	798
119	108	794
120	108	789
121	109	784
122	109	780
123	109	776
124	110	771
125	110	767
126	111	763
127	111	759
128	111	755
129	112	752
130	112	748
131	113	744
132	113	741
133	114	737
134	114	733
135	114	729
136	115	725
137	115	722
138	116	718
139	116	716
140	117	713
141	117	708
142	117	705
143	118	702
144	118	699
145	119	696
146	119	693
147	119	690
148	120	687
149	120	684
150	121	681
151	121	678
152	122	676
153	122	673
154	122	670
155	123	667
156	123	665
157	124	662
158	124	660
159	125	657
160	125	653
161	125	651
162	126	648
163	126	645
164	127	643
165	127	640
166	127	638
167	128	635
168	128	632
169	129	630
170	129	628
171	130	626
172	130	624
173	131	621
174	131	619
175	131	616
176	132	614
177	132	612
178	132	609
179	133	607
180	133	605
181	134	603
182	134	600
183	135	599
184	135	597
185	136	595
186	136	593
187	137	592
188	137	590
189	138	588
190	138	586
191	138	584
192	139	582
193	139	580
194	140	579
195	140	577
196	141	575
197	141	574
198	142	572
199	142	570
200	142	568
201	143	566
202	143	564
203	144	562
204	144	561
205	145	559
206	145	557
207	146	556
208	146	554
209	146	552
210	147	551
211	147	549
212	148	547
213	148	546
214	149	544
215	149	543
216	150	541
217	150	539
218	150	538
219	151	536
220	151	534
221	152	533
222	152	531
223	153	530
224	153	528
225	153	526
226	154	525
227	154	524
228	155	522
229	155	521
230	156	520
231	156	518
232	157	517
233	157	515
234	157	513
235	158	512
236	158	510
237	158	508
238	159	506
239	159	504
240	159	503
241	160	501
242	160	499
243	160	497
244	161	496
245	161	494
246	161	492
247	161	491
248	162	489
249	162	488
250	163	486
251	163	484
252	163	483
253	163	481
254	164	480
255	164	478
256	165	477
257	165	476
258	165	474
259	166	473
260	166	471
261	166	470
262	167	468
263	167	467
264	167	465
265	168	464
266	168	462
267	168	461
268	169	459
269	169	458
270	169	456
271	170	455
272	170	454
273	170	452
274	171	451
275	171	450
276	171	448
277	172	447
278	172	446
279	172	444
280	173	443
281	173	441
282	173	440
283	174	439
284	174	438
285	174	436
286	175	435
287	175	433
288	175	432
289	176	431
290	176	430
291	176	428
292	177	427
293	177	426
294	177	425
295	178	423
296	178	422
297	178	421
298	179	419
299	179	418
300	179	417
301	180	416
302	180	415
303	180	414
304	181	412
305	181	411
306	181	410
307	182	409
308	182	408
309	182	406
310	183	405
311	183	404
312	183	403
313	184	402
314	184	401
315	184	400
316	185	398
317	185	397
318	185	396
319	186	395
320	186	394
321	186	393
322	187	392
323	187	390
324	187	389
325	188	388
326	188	387
327	188	386
328	189	385
329	189	384
330	189	383
331	189	382
332	190	381
333	190	380
334	190	378
335	191	377
336	191	376
337	191	375
338	192	374
339	192	373
340	192	372
341	193	371
342	193	370
343	194	370
344	194	369
345	194	368
346	195	367
347	195	366
348	195	365
349	196	364
350	196	363
351	196	362
352	197	361
353	197	360
354	197	359
355	198	358
356	198	357
357	198	356
358	199	355
359	199	354
360	199	353
361	200	352
362	200	351
363	200	350
364	201	349
365	201	348
366	201	347
367	202	347
368	202	346
369	202	345
370	203	344
371	203	343
372	203	342
373	204	341
374	204	340
375	204	339
376	205	338
377	205	337
378	205	337
379	206	336
380	206	335
381	206	334
382	206	333
383	207	332
384	207	331
385	208	331
386	208	330
387	208	329
388	209	328
389	209	327
390	209	327
391	210	326
392	210	325
393	211	324
394	211	323
395	211	322
396	212	322
397	212	321
398	212	320
399	213	319
400	213	318
401	213	317
402	214	317
403	214	316
404	214	315
405	215	314
406	215	313
407	215	312
408	215	312
409	216	311
410	216	310
411	216	309
412	217	308
413	217	307
414	217	307
415	218	306
416	218	305
417	218	304
418	219	303
419	219	303
420	219	302
421	220	301
422	220	300
423	220	299
424	221	299
425	221	298
426	221	297
427	222	296
428	222	296
429	222	295
430	223	294
431	223	293
432	223	293
433	224	292
434	224	291
435	224	291
436	225	290
437	225	289
438	226	288
439	226	288
440	226	287
441	227	286
442	227	285
443	227	285
444	228	284
445	228	283
446	228	282
447	229	282
448	229	281
449	229	280
450	229	279
451	230	279
452	230	278
453	230	277
454	231	276
455	231	276
456	231	275
457	232	274
458	232	274
459	232	273
460	233	272
461	233	272
462	233	271
463	234	270
464	234	269
465	234	269
